Percy Jackson: Sea of Monsters,"[sea, golden fleece, quest, half brother, poseidon, whirlpool, long title, forcefield, sequel, sword, greek myth, poisoned, centaur, ampersand in title, swallowed, titan, demi god, second part, greek mythology, punctuation in title, amusement park, cyclops, satyr, boat, yacht, hermes, tree, magical tree, olympus, sea serpent, based on book, based on novel, character name in title]"
A Good Day to Die Hard,"[russian, courthouse, cia, undercover, bomb, escape, explosion, post cold war, pistol, underwater scene, sequel, airport, elevator, neck breaking, flashlight, shot through a window, shaky cam, nightclub, wisecrack humor, one man army, burned to death, terrorist, die hard scenario, cut into pieces, hotel, corrupt official, cell phone, terrorist plot, jumping through a window, exploding truck, car bomb, assassin, exploding body, police officer, undercover agent, armored car, terrorism, new york city, explosive, exploding car, kremlin, rescue, arms dealer, slow motion explosion, assault rifle, news report, langley virginia, falling through the floor, police station, reference to frank sinatra, raised middle finger, warrior, split screen, target practice, sawed off shotgun, nuclear threat, shot in the back, grenade launcher, stolen car, gatling gun, moscow russia, femme fatale, car chase, photograph, mil mi 26 halo helicopter, safe house, taxi, exploding helicopter, father daughter relationship, war propaganda, freeze frame, father son reconciliation, shot in the leg, helicopter crash, airplane, shot in the foot, u""characters point of view camera shot"", falling from height, radiation suit, tough guy, lens flare, car crash, knife, night cityscape, shot in the arm, key, punched in the face, political prisoner, held at gunpoint, truck rollover, lasersight, mi 24 hind helicopter, two man army, beating, maverick cop, tough cop, critically bashed, trial, prisoner, head butt, stabbed in the leg, police officer killed, machine gun, anti hero, fifth part, rocket launcher, bare chested male, father son relationship, security camera, subtitled scene, media coverage, judge, protest, vacation, shotgun, swimming pool, suicide, u""character repeating someone elses dialogue"", bulletproof vest, surveillance, hand grenade, strangulation, jumping from height, shooting range, slow motion scene, shootout, mercenary, masked man, uranium, crashing through a window, betrayal, on the run, bilingualism, shot in the shoulder, deception, helicopter, jfk international airport queens new york city, escaped prisoner, revenge, police officer shot, shot in the chest, detective, ballroom, singing in a car, prison, action hero, ak 47, chernobyl ukraine, gadget, murder, cia agent, rpg, double cross, police brutality, character says i love yo, shot to death, blood spatter, manipulation, terrorist group, body landing on a car, hazmat suit, gas mask, taxi driver, vault, american abroad, set up, gadgetry, shot in the head, rooftop, police detective, death of father, surprise ending]"
Warm Bodies,"[zombie, undead, scavenger, love, wall, living dead, memory, written by director, punched in the face, shotgun, machine gun, shakespeare adaptation, falling from height, throat slitting, polaroid camera, beer, highway, woman in bra and panties, vinyl, head bashed in, flesh eating zombie, director cameo, looking at self in mirror, girl in bra and panties, dystopia, character says i love yo, female feet in socks, corpse, death of boyfriend, rescue, flashback, shot in the forehead, shot in the head, hoodie, subway station, u""shakespeares romeo and juliet"", deserted city, eating brains, shot in the shoulder, box office hit, close up of eyes, rain, hunger, young version of character, airport, airplane, dream sequence, destroyed wall, zombie apocalypse, knife in the chest, skeleton, post apocalypse, reference to kim kardashian, scene during opening credits, jumping from height, eaten alive, polaroid, voice over narration, u""characters point of view camera shot"", transformation, watch, bmw, skull, walking dead, pretending to be dead, falling through a rooftop window, black panties, girl with socks on, zombie child, hit on the head with a fire extinguisher, slow motion scene, father daughter relationship, attraction, shot to death, boyfriend girlfriend relationship, kicked in the chest, hope, assault rifle, watching someone sleep, abandoned house, u""reference to guns n roses"", foot chase, knife throwing, male in shower, shot in the chest, underwater scene, bitten on the arm, gash in the face, u""character repeating someone elses dialogue"", pistol, baseball stadium, snowglobe, two word title, makeover, lens flare, freeze frame, shakespeare, playing a video game, bra, split screen, blood on face, convertible, death of father, based on novel]"
Jack the Giant Slayer,"[giant, princess, king, bean, monk, soldier, beanstalk, horse, crown, sky, magic beans, jack and the beanstalk, kingdom, magic, monster, barefoot, escape, reading aloud, pig in a blanket, tunnel, remake, climbing a rope, burning tree, grappling hook, damsel in distress, castle, raising a draw bridge, acrophobia, climbing, relic, hiding, falling to death, armor, hero, pushed off a cliff, stabbed in the belly, slingshot, thunderstorm, harp, human skull, knife fight, revenge, fairy tale, adventure hero, london england, bound hand and foot, scenic beauty, close up of eyes, drawbridge, herd of sheep, haystack, booby trap, falling from height, stowaway, moat, natural bridge, knife, passionate kiss, flaming arrow, warrior, above the clouds, bedtime story, pig, cook, thrown from a horse, trap, stage show, farmboy, betrayal, robbery, stabbed in the back, cloud, beehive, flash forward, riding a horse indoors, swimming underwater, bee, poem, interrupted with a kiss, bell, caught in a trap, statue, sword, boot print, crown jewels, blazing a trail, tug of war, eye popping out, bully, kneeling, zip line, waterfall, eaten alive, book of poetry, ginger cat, greed, sheep, locked in a cage, story telling, full moon, museum, cat, ring, two headed monster, secret passage, some scenes animated, caught in the rain, action figure, rescue mission, riding at a gallop, character name in title]"
The Purge,"[murder, security system, one night, 18 year old, broken nose, duct tape over mouth, pool table, corpse, stabbed to death, home invasion, machete, flashlight, emergency broadcast system, death of boyfriend, child with gun, mother son relationship, shot to death, blood on camera lens, blood spatter, child in peril, family dinner, hiding in a closet, father daughter relationship, beaten to death, shot in the chest, rules, character says i love yo, remote control car, nosebleed, u""character repeating someone elses dialogue"", honing a machete, dog tag, left for dead, dystopia, boyfriend girlfriend relationship, begins with text, stabbed in the belly, attempted murder, 2020s, shot in the head, shot in the back, remote controlled toy, f word, morality, written by director, mansion, shot in the stomach, controlled chaos, running on a treadmill, neighbor neighbor relationship, threat, stabbed in the stomach, bound and gagged, hiding under a bed, jumping through a window, year 2022, scene during opening credits, pistol, security camera, decapitated corpse, stabbed in the chest, stabbed in the back, machine gun, filmed killing, mother daughter relationship, shootout, upper class, father son relationship, hit with a baseball bat, startled, death of husband, tooth knocked out, masked man, lens flare, axe murder, masked woman, hit with a pool cue, neighbor, husband wife relationship, tied to a chair, shotgun, death of father, death of friend, title spoken by character, surprise ending]"
Last Vegas,"[bachelor party, vegas, wedding proposal, las vegas nevada, funeral, penthouse suite, casino, childhood friends, lounge singer, may december romance, blackjack game]"
Enders Game,"[alien, military, boy, invasion, simulation, training, outer space, shower, humorlessness, military mind, box office flop, bullying, no opening credits, child savior of the world, teenage boy, brother sister relationship, child prodigy, child genius, dysfunctional society, wargame, fighting, brother against brother, presumed enemy, space battle, child protagonist, military academy, war game, alien invasion, two word title, video game, pre adolescent, lying, space, bombardment, children, death, military school, preparing for battle, dysfunctional family, enemy, brother sister dependency relationship, children without play, space station, facial tattoo, weak parent, zero gravity, remorse, simulation game, basic training, space navy, militaristic society, genocide, teenage protagonist, clueless adult, destruction, based on novel, character name in title, surprise ending]"
Prisoners,"[arrest, gas station, snow, u""character repeating someone elses dialogue"", rain, punched in the face, hunting, sex offender, held captive, vomit, car crash, shot in the head, shot in the leg, killing an animal, animal abuse, bound and gagged, beating, whistling, shot through the mouth, duct tape over mouth, dog, apartment building, police investigation, police detective, police station, vigil, drugged drink, missing child, alcohol, whistle, flashback, child abduction, suicide, shot in the chest, no opening credits, pistol, maze, snake, revenge, mental retardation, drawing, torture, shot to death, breaking and entering, forest, stalking, police captain, handcuffs, lye, deer, mannequin, one word title, missing person, photograph, reference to batman, husband wife relationship, abandoned building, foot chase, trumpet, kidnapping, hospital, thanksgiving, title at the end, gun in mouth, dream sequence, priest, flashlight, recreational vehicle, father son relationship, blood spatter, news report, teenager, bag over head, corpse, hammer, rescue, pennsylvania, box office hit, interrogation, reference to bruce springsteen, surprise ending]"
After Earth,"[general, asteroid, alien, fear, trek, planet, crash landing, predator, spacecraft, fearless, antidote, spider crawling on hand, bird of prey, giant animal, spaceship crash, cave, foot chase, climbing down a vine, giant bird, explosion, planet in title, post apocalypse, dreaming, giant monster, critically bashed, hallucination, brother sister relationship, courage, jogging, asteroid belt, building raft, body suit, ship captain, box office flop, river, amputee, hologram, sword, jungle, self injection, lightning, chick, volcano, stabbed in the back, mother daughter relationship, husband wife relationship, herd of animals, death of sister, seeing sister killed, training, war hero, army, teenager, blindness, monkey, chase, poison, desert, child in peril, jumping from height, bird, campfire, stabbed in the chest, war veteran, tracking device, military, giant creature, father son relationship, no opening credits, broken leg, two word title, scenic beauty, monster, gas mask, walking in the woods, animal killing, animal attack, flock of birds, creature, mother son relationship, spear, showdown, alien invasion, captain, father daughter relationship, coming of age, outer space, waterfall, real life father and son playing father and son, explosive decompression, teenage hero, survival, glide suit, book, nesting dolls, heavy rain, flashback, camera, spaceship, race against time, space travel, written by director, commander, quarantine, rainstorm, stabbed to death, tiger, rainforest]"
Escape from Planet Earth,"[alien, mission control, rescue, escape, power armor, sibling rivalry, attempted genocide, area 51, remote control vehicle, cult film, xenophobia, online dating, trailer park, cryogenic storage, kidnapping, super weapon, prison labor, spaceship, product placement, arrogance, prison, convenience store, computer animation, 3 eyed alien, brother brother relationship, nerd, kids and family]"
